"","Date","n","region"
"1",2017-09-05,77,"NJ"
"2",2017-09-21,316,"NJ"
"3",2017-10-03,1,"NJ"
"4",2017-10-17,4,"NJ"
"5",2017-11-01,368,"NJ"
"6",2017-11-14,327,"NJ"
"7",2017-11-27,33,"NJ"
"8",2017-01-02,18,"NJ"
"9",2017-01-16,1,"NJ"
"10",2017-01-30,6,"NJ"
"11",2017-02-07,2,"NJ"
"12",2017-02-20,5,"NJ"
"13",2017-02-28,3,"NJ"
"14",2017-09-11,3200,"NJ"
"15",2017-09-27,17,"NJ"
"16",2017-10-09,99,"NJ"
"17",2017-11-06,1605,"NJ"
"18",2017-11-20,1388,"NJ"
"19",2017-12-04,33,"NJ"
"20",2017-12-11,117,"NJ"
"21",2017-12-18,237,"NJ"
"22",2017-12-27,8,"NJ"
